gene_id	accession	gene_name	description	function
ACON2_034372	XM_040376845.2	LOC120955734	ribitol 5-phosphate transferase FKRP	ribitol 5-phosphate transferase FKRP|fukutin-related protein
ACON2_034401	XM_049607469.1	LOC120951425	U-scoloptoxin(19)-Sm1a	U-scoloptoxin(19)-Sm1a|WAP domain-containing protein
ACON2_034418	XM_049605634.1	LOC125906527	uncharacterized LOC125906527	uncharacterized protein LOC125906527
ACON2_034486	XM_040369800.2	LOC120951217	innexin inx4-like	innexin inx4-like
ACON2_034506	XM_040382095.2	LOC120958992	uncharacterized LOC120958992	uncharacterized protein LOC120958992
ACON2_034531	XM_040366982.2	LOC120949588	uncharacterized LOC120949588	uncharacterized protein LOC120949588
ACON2_034537	XM_049605548.1	LOC120951655	DNA repair protein complementing XP-C cells homolog	DNA repair protein complementing XP-C cells homolog
ACON2_034591	XM_040374699.2	chp	leucine rich repeat containing G protein-coupled receptor chaoptin	chaoptin
ACON2_034599	XM_040379422.2	LOC120957297	5-hydroxytryptamine receptor-like	5-hydroxytryptamine receptor-like
ACON2_034621	XM_049606066.1	LOC125906577	uncharacterized LOC125906577	uncharacterized protein LOC125906577
ACON2_034665	XM_040377792.2	LOC120956377	phenoloxidase-activating factor 3-like	phenoloxidase-activating factor 3-like|Peptidase S1 domain-containing protein
ACON2_034686	XM_040383721.2	LOC120959931	general odorant-binding protein lush-like	general odorant-binding protein lush-like|Odorant-binding protein 5
ACON2_034694	XR_007453274.1	LOC125908173	large subunit ribosomal RNA	
ACON2_034732	XM_040372661.2	LOC120953013	membrane-bound alkaline phosphatase-like	membrane-bound alkaline phosphatase-like|Alkaline phosphatase
ACON2_034755	XM_040363092.2	Acph-1	Acid phosphatase 1	prostatic acid phosphatase
ACON2_034767	XM_040365939.2	LOC120949011	RING finger protein 141-like	RING finger protein 141-like
ACON2_034780	XM_040366436.2	LOC120949245	protein Mo25	protein Mo25
ACON2_034783	XM_040363488.2	LOC120947786	lysozyme c-1	lysozyme c-1
ACON2_034793	XM_040381623.2	LOC120958668	uncharacterized LOC120958668	uncharacterized protein LOC120958668|endochitinase A
ACON2_034816	XM_049605095.1	LOC120952178	homeobox protein unc-42	homeobox protein unc-42|pituitary homeobox 2
ACON2_034928	XM_040363065.2	CycB3	cyclin B3	uncharacterized protein LOC120947604|G2/mitotic-specific cyclin-B3
ACON2_034979	XM_040384308.2	LOC120960236	protein CFAP276	protein CFAP276|protein C1orf194
ACON2_034988	XM_040367053.2	LOC120949634	CLIP domain-containing serine protease B9	CLIP domain-containing serine protease B9
ACON2_035073	XR_007452003.1	LOC125906634	uncharacterized LOC125906634	
ACON2_035083	XM_040363644.2	Mtl	Rac family small GTPase Mtl	ras-related C3 botulinum toxin substrate 1
ACON2_035087	XM_040381277.2	LOC120958447	defensin	defensin|INVERT_DEFENSINS domain-containing protein
ACON2_035167	XM_049606507.1	LOC125906670	uncharacterized LOC125906670	uncharacterized protein LOC125906670
ACON2_035174	XM_040377901.2	GrlHz	Gustatory receptor-like Holozoa	uncharacterized protein LOC120956433
ACON2_035177	XM_040381641.2	LOC120958682	uncharacterized LOC120958682	uncharacterized protein LOC120958682
ACON2_035184	XM_040378617.2	LOC120956845	sodium-dependent proline transporter	sodium-dependent proline transporter
ACON2_035195	XM_040385054.2	LOC120961345	chymotrypsin-2-like	chymotrypsin-2-like|Peptidase S1 domain-containing protein
ACON2_035226	XM_040362417.2	LOC120947252	facilitated trehalose transporter Tret1-like	facilitated trehalose transporter Tret1-like|MFS domain-containing protein
ACON2_035237	XR_007453060.1	LOC125907922	large subunit ribosomal RNA	
ACON2_035238	XM_049610952.1	LOC125908298	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like|uncharacterized protein LOC125908298
ACON2_035256	XM_040371348.2	LOC120952169	nose resistant to fluoxetine protein 6-like	nose resistant to fluoxetine protein 6-like|Acyl_transf_3 domain-containing protein
ACON2_035264	XM_040374490.2	shd	cytochrome P450 family 24 subfamily A member shade	ecdysone 20-monooxygenase
ACON2_035281	XM_040375356.2	FoxP	forkhead box transcription factor P	forkhead box protein I1c|forkhead box P|forkhead box protein P1-B
ACON2_035311	XM_040374077.2	LOC120953813	xanthine dehydrogenase/oxidase-like	xanthine dehydrogenase/oxidase-like
ACON2_035344	XM_040363923.2	LOC120947991	RING-box protein 1A	RING-box protein 1A|RING-type domain-containing protein
ACON2_035359	XM_040369665.2	LOC120951128	uncharacterized LOC120951128	uncharacterized protein LOC120951128
ACON2_035364	XM_040382624.2	LOC120959327	uncharacterized LOC120959327	uncharacterized protein LOC120959327
ACON2_035415	XM_040369322.2	LOC120950904	uncharacterized LOC120950904	uncharacterized protein LOC120950904
ACON2_035448	XM_040364190.2	Culd	CUB and LDLa domain	uncharacterized protein LOC120948155
ACON2_035473	XM_040380196.2	LOC120957821	uncharacterized LOC120957821	uncharacterized protein LOC120957821
ACON2_035477	XM_040383117.2	LOC120959615	SUMO-conjugating enzyme UBC9-A	SUMO-conjugating enzyme UBC9-A
ACON2_035502	XM_040382199.2	LOC120959057	caspase-1-like	caspase-1-like
ACON2_035507	XM_040382543.2	LOC120959266	SET and MYND domain-containing protein 4-like	SET and MYND domain-containing protein 4-like
ACON2_035517	XM_040374121.2	LOC120953829	ATP-dependent DNA helicase DDX11	ATP-dependent DNA helicase DDX11|DNA helicase
ACON2_035629	XM_040380811.2	LOC120958185	ornithine decarboxylase 1-like	ornithine decarboxylase 1-like
ACON2_035654	XM_040377671.2	LOC120956288	uncharacterized LOC120956288	uncharacterized protein LOC120956288
ACON2_035692	XM_040367063.2	LOC120949639	uncharacterized LOC120949639	uncharacterized protein LOC120949639|MD-2-related lipid-recognition domain-containing protein
ACON2_035754	XM_040381092.2	LOC120958356	protein-glucosylgalactosylhydroxylysine glucosidase-like	protein-glucosylgalactosylhydroxylysine glucosidase-like|Glyco_hydro_65m domain-containing protein
ACON2_035765	XR_007451979.1	LOC125906620	uncharacterized LOC125906620	
ACON2_035772	XM_040371925.2	LOC120952538	uncharacterized LOC120952538	uncharacterized protein LOC120952538|PDZ domain-containing protein
ACON2_035875	XM_040367284.2	LOC120949780	sugar transporter SWEET1-like	sugar transporter SWEET1-like
ACON2_035882	XM_040368400.2	LOC120950406	abasic site processing protein HMCES	abasic site processing protein HMCES
ACON2_035906	XM_040372125.2	NaCP60E	Na channel protein 60E	sodium channel protein 60E
ACON2_035913	XM_040367564.2	mtg	mind the gap	proteoglycan 4|Chitin-binding type-2 domain-containing protein|uncharacterized protein LOC120949926
ACON2_035917	XM_040382212.2	Eip75B	Ecdysone-induced protein 75B	ecdysone-induced protein 75B, isoforms C/D
ACON2_035923	XM_040379658.2	LOC120957444	uncharacterized LOC120957444	uncharacterized protein LOC120957444
ACON2_035925	XM_040371847.2	LOC120952491	uncharacterized LOC120952491	uncharacterized protein LOC120952491
ACON2_035953	XM_040373145.2	LOC120953322	protein catecholamines up-like	DENN domain-containing protein Crag-like|uncharacterized protein LOC120953322
ACON2_035978	XM_040385483.2	Edc3	enhancer of mRNA-decapping protein 3	enhancer of mRNA-decapping protein 3
ACON2_036033	XM_049609124.1	LOC120956359	potassium voltage-gated channel protein Shaw-like	potassium voltage-gated channel protein Shaw-like
ACON2_036042	XM_040382558.2	LOC120959279	uncharacterized LOC120959279	uncharacterized protein LOC120959279|Peptidase S1 domain-containing protein
ACON2_036069	XM_040366724.2	LOC120949426	protein henna	protein henna|Phenylalanine 4-monooxygenase
ACON2_036093	XM_040376571.2	LOC120955575	sin3 histone deacetylase corepressor complex component SDS3-like	sin3 histone deacetylase corepressor complex component SDS3-like
ACON2_036100	XM_040371335.2	Rpt4	Regulatory particle triple-A ATPase 4	26S proteasome regulatory subunit 10B|AAA domain-containing protein
ACON2_036151	XM_040371585.2	LOC120952311	uncharacterized LOC120952311	uncharacterized protein LOC120952311|EF-hand domain-containing protein
ACON2_036182	XM_040362614.2	LOC120947360	vesicular acetylcholine transporter-like	choline O-acetyltransferase-like
ACON2_036201	XM_040366887.2	LOC120949531	lipase 3-like	lipase 3-like
ACON2_036226	XM_040373317.2	nanos	RNA-binding protein nanos	uncharacterized protein LOC120953417|Nanos-type domain-containing protein
ACON2_036232	XM_040371669.2	Reg-2	Rhythmically expressed gene 2	rhythmically expressed gene 2 protein
ACON2_036259	XM_040383887.2	LOC120960023	facilitated trehalose transporter Tret1-like	facilitated trehalose transporter Tret1-like
ACON2_036264	XR_007451989.1	LOC120956107	uncharacterized LOC120956107	
ACON2_036273	XM_040371610.2	LOC120952331	zinc finger protein 135-like	zinc finger protein 135-like
ACON2_036278	XM_040382440.2	LOC120959202	facilitated trehalose transporter Tret1-like	facilitated trehalose transporter Tret1-like|MFS domain-containing protein
ACON2_036283	XM_040375806.2	Oseg4	intraflagellar transport protein Oseg4	WD repeat-containing protein 35
ACON2_036343	XM_040381614.2	Pen	karyopherin subunit alpha	importin subunit alpha
ACON2_036363	XM_040365895.2	LOC120948984	uncharacterized LOC120948984	uncharacterized protein LOC120948984
ACON2_036370	XM_049610853.1	LOC125908041	putative uncharacterized protein DDB_G0271606	putative uncharacterized protein DDB_G0271606
ACON2_036390	XR_007452153.1	LOC125906802	uncharacterized LOC125906802	
ACON2_036431	XM_040383353.2	LOC120959733	luciferin sulfotransferase-like	luciferin sulfotransferase-like
ACON2_036432	XM_040371579.2	DNApol-theta	DNA polymerase theta	DNA polymerase theta
ACON2_036447	XM_040367399.2	LOC120949841	trypsin 5G1-like	trypsin 5G1-like
ACON2_036449	XM_049607035.1	LOC125906737	uncharacterized LOC125906737	uncharacterized protein LOC125906737
ACON2_036456	XM_040380127.2	LOC120957774	histone H1-like	histone H1-like
ACON2_036526	XM_049605406.1	LOC120953644	homeobox protein PKNOX2-like	homeobox protein PKNOX2-like|Homeobox domain-containing protein
ACON2_036566	XR_007452974.1	LOC125907816	large subunit ribosomal RNA	
ACON2_036609	XM_040367783.2	Gk2	Glycerol kinase 2	glycerol kinase
ACON2_036629	XM_040374701.2	LOC120954618	brachyurin-like	brachyurin-like|Peptidase S1 domain-containing protein
ACON2_036630	XM_040374629.2	LOC120954237	frizzled-3	frizzled-3
ACON2_036642	XR_007452898.1	LOC125907729	large subunit ribosomal RNA	
ACON2_036719	XM_040382090.2	Lint-O	L(3)mbt interactor in ovarian somatic cells	scm-like with four MBT domains protein 1|SAM domain-containing protein
ACON2_036729	XM_049608496.1	kek2	leucine-rich repeat, immunoglobulin-like domain-containing kekkon 2 protein	uncharacterized protein LOC120957291
ACON2_036739	XM_049607098.1	LOC125906747	transient receptor potential cation channel protein painless-like	transient receptor potential cation channel protein painless-like
ACON2_036753	XM_040381000.2	LOC120958301	uncharacterized LOC120958301	uncharacterized protein LOC120958301
ACON2_036784	XM_040378871.2	LOC120956985	mucin-5AC-like	mucin-5AC-like|Calponin-homology (CH) domain-containing protein
ACON2_036830	XM_049611012.1	LOC120956093	uncharacterized LOC120956093	uncharacterized protein LOC120956093
ACON2_036845	XM_040367329.2	ssp6	short spindle 6	uncharacterized protein LOC120949803|PDZ domain-containing protein
ACON2_036889	XM_040367722.2	LOC120950014	histone H3.3A	histone H3.3A
ACON2_036891	XM_040369232.2	LOC120950862	dynein beta chain, ciliary-like	dynein beta chain, ciliary-like
ACON2_036907	XR_007453238.1	LOC125908133	large subunit ribosomal RNA	
ACON2_036924	XM_040376310.2	LOC120955437	major facilitator superfamily domain-containing protein 12-like	major facilitator superfamily domain-containing protein 12-like|Sugar transporter
ACON2_036931	XM_040385319.2	LOC120961536	alpha-tocopherol transfer protein-like	alpha-tocopherol transfer protein-like
ACON2_037013	XM_040380606.2	LOC120958057	extracellular matrix-binding protein EbhA-like	extracellular matrix-binding protein EbhA-like
ACON2_037031	XR_007451985.1	LOC120958278	uncharacterized LOC120958278	
ACON2_037034	XM_049607231.1	LOC125906787	uncharacterized LOC125906787	uncharacterized protein LOC125906787
ACON2_037040	XM_040378502.2	LOC120956777	juvenile hormone epoxide hydrolase 1-like	juvenile hormone epoxide hydrolase 1-like|Epoxide hydrolase
ACON2_037072	XM_040374551.2	LOC120954021	probable phosphoserine aminotransferase	probable phosphoserine aminotransferase|Phosphoserine aminotransferase
ACON2_037111	XM_049609039.1	LOC120957531	putative eggshell protein	putative eggshell protein
ACON2_037184	XM_040382388.2	Cks30A	Cyclin-dependent kinase subunit 30A	cyclin-dependent kinases regulatory subunit
ACON2_037195	XM_040367426.2	LOC120949860	coagulation factor X-like	coagulation factor X-like|uncharacterized protein LOC120949860
ACON2_037247	XM_040368091.2	LOC120950227	troponin C, isoallergen Bla g 6.0101-like	troponin C, isoallergen Bla g 6.0101-like
ACON2_037261	XR_007452912.1	LOC125907742	large subunit ribosomal RNA	
ACON2_037278	XM_040381683.2	LOC120958708	uncharacterized LOC120958708	uncharacterized protein LOC120958708
ACON2_037281	XM_040372576.2	Osi8	Osiris 8	uncharacterized protein LOC120952966|Protein osiris 8
ACON2_037284	XM_049605396.1	LOC120950249	uncharacterized LOC120950249	uncharacterized protein LOC120950249|Protein kinase domain-containing protein
ACON2_037330	XM_049609129.1	LOC125907377	uncharacterized LOC125907377	uncharacterized protein LOC125907377
ACON2_037368	XR_007451855.1	LOC125906484	uncharacterized LOC125906484	
ACON2_037391	XR_007451890.1	LOC125906512	uncharacterized LOC125906512	
ACON2_037417	XM_040378656.2	LOC120956878	glutathione S-transferase 1-like	glutathione S-transferase 1-like|glutathione transferase
ACON2_037437	XR_007452250.1	LOC125906915	uncharacterized LOC125906915	
ACON2_037460	XM_040365953.2	alpha-Man-Ia	alpha-Mannosidase class I a	mannosyl-oligosaccharide alpha-1,2-mannosidase IA|alpha-1,2-Mannosidase
ACON2_037475	XM_040381220.2	LOC120958422	alpha-tocopherol transfer protein-like	alpha-tocopherol transfer protein-like
ACON2_037569	XM_040370887.2	Mcm7	minichromosome maintenance 7	DNA replication licensing factor Mcm7
ACON2_037574	XM_040376752.2	LOC120955671	uncharacterized LOC120955671	uncharacterized protein LOC120955671|Membrane-associated protein
ACON2_037585	XR_007452809.1	LOC125907629	large subunit ribosomal RNA	
ACON2_037589	XM_040364516.2	LOC120948313	basement membrane-specific heparan sulfate proteoglycan core protein-like	basement membrane-specific heparan sulfate proteoglycan core protein-like
ACON2_037632	XR_007453021.1	LOC125907878	large subunit ribosomal RNA	
ACON2_037642	XM_040375629.2	LOC120955107	POC1 centriolar protein homolog	POC1 centriolar protein homolog
ACON2_037649	XM_049608925.1	LOC125907316	uncharacterized LOC125907316	uncharacterized protein LOC125907316
ACON2_037665	XM_040379186.2	LOC120957143	sodium/potassium/calcium exchanger 3-like	sodium/potassium/calcium exchanger 3-like|Sodium/calcium exchanger membrane region domain-containing protein
ACON2_037729	XM_049609020.1	LOC120961213	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_037732	XM_040385409.2	Xport-A	exit protein of rhodopsin and TRP A	uncharacterized protein LOC120961591|RR_TM4-6 domain-containing protein
ACON2_037748	XM_049609027.1	LOC120956322	uncharacterized LOC120956322	uncharacterized protein LOC120956322
ACON2_037759	XM_040364904.2	Snrk	SNF related kinase	serine/threonine kinase SAD-1|Protein kinase domain-containing protein
ACON2_037763	XR_007452137.1	LOC120959334	uncharacterized LOC120959334	
ACON2_037799	XM_040365934.2	LOC120949010	mucin-22	mucin-22|mucin-5AC
ACON2_037882	XM_040373335.2	LOC120953426	small ubiquitin-related modifier 2-like	small ubiquitin-related modifier 2-like
ACON2_037929	XM_049610759.1	LOC125907576	uncharacterized LOC125907576	uncharacterized protein LOC125907576
ACON2_037957	XM_040372258.2	LOC120952770	uncharacterized LOC120952770	uncharacterized protein LOC120952770
ACON2_037984	XM_040375985.2	Incenp	Inner centromere protein	uncharacterized protein LOC120955270|eukaryotic translation initiation factor 4 gamma
ACON2_038008	XM_049609432.1	LOC125907432	angiopoietin-related protein 7-like	angiopoietin-related protein 7-like
ACON2_038010	XM_040384105.2	LOC120960130	enhancer of split m7 protein-like	enhancer of split m7 protein-like|Enhancer of split mbeta protein
ACON2_038025	XM_049605245.1	LOC125906440	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_038032	XR_007453319.1	LOC125908234	large subunit ribosomal RNA	
ACON2_038064	XM_040379614.2	LOC120957410	uncharacterized LOC120957410	uncharacterized protein LOC120957410
ACON2_038074	XM_049611103.1	LOC125908379	uncharacterized LOC125908379	uncharacterized protein LOC125908379
ACON2_038109	XM_040381767.2	mTerf3	mitochondrial transcription termination factor 3	transcription termination factor 3, mitochondrial
ACON2_038157	XR_007452676.1	LOC125907460	uncharacterized LOC125907460	
ACON2_038184	XM_040379694.2	LOC120957474	transcription factor SOX-3-like	transcription factor SOX-3-like
ACON2_038209	XM_040376326.2	Smyd4-3	SET and MYND domain containing, class 4, member 3	SET and MYND domain-containing protein 4
ACON2_038214	XM_049609632.1	LOC125907440	nucleomorphin-like	nucleomorphin-like
ACON2_038233	XM_040367837.2	LOC120950085	histone H3	histone H3
ACON2_038260	XM_049605535.1	LOC120952987	uncharacterized LOC120952987	uncharacterized protein LOC120952987
ACON2_038266	XM_040365663.2	LOC120948867	uncharacterized LOC120948867	uncharacterized protein LOC120948867
ACON2_038267	XM_049611127.1	LOC125908398	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_038291	XM_049611091.1	LOC125908371	uncharacterized LOC125908371	uncharacterized protein LOC125908371
ACON2_038310	XM_040382126.2	LOC120959011	death-associated inhibitor of apoptosis 2-like	death-associated inhibitor of apoptosis 2-like
ACON2_038336	XM_040383087.2	LOC120959593	angiopoietin-related protein 7-like	angiopoietin-related protein 7-like
ACON2_038369	XM_040380843.2	LOC120958209	retinol-binding protein pinta-like	retinol-binding protein pinta-like|CRAL-TRIO domain-containing protein
ACON2_038402	XM_040373109.2	LOC120953303	maternal protein exuperantia-like	maternal protein exuperantia-like|SAM_Exu domain-containing protein
ACON2_038416	XM_040378798.2	yl	Putative vitellogenin receptor yl	putative vitellogenin receptor
ACON2_038423	XR_005752321.2	LOC120960266	U2 spliceosomal RNA	
ACON2_038448	XM_040369829.2	LOC120951237	G2/mitotic-specific cyclin-B-like	G2/mitotic-specific cyclin-B-like|Cyclin N-terminal domain-containing protein
ACON2_038482	XR_007452631.1	LOC125907428	uncharacterized LOC125907428	
ACON2_038518	XM_049605635.1	LOC120952105	uncharacterized LOC120952105	uncharacterized protein LOC120952105
ACON2_038531	XM_049608380.1	LOC125907239	uncharacterized LOC125907239	uncharacterized protein LOC125907239
ACON2_038541	XM_040370898.2	LOC120951898	uncharacterized LOC120951898	uncharacterized protein LOC120951898
ACON2_038552	XM_040365134.2	LOC120948606	uncharacterized LOC120948606	uncharacterized protein LOC120948606|Retrotransposon gag domain-containing protein
ACON2_038596	XM_049610073.1	LOC120959073	uncharacterized LOC120959073	uncharacterized protein LOC120959073
ACON2_038614	XM_049609407.1	LOC125907425	uncharacterized LOC125907425	uncharacterized protein LOC125907425
ACON2_038621	XM_040367661.2	LOC120949984	serine protease grass	serine protease grass
ACON2_038633	XR_007452653.1	LOC125907447	uncharacterized LOC125907447	
ACON2_038638	XM_040371127.2	Mos	proto-oncogene serine/threonine-protein kinase mos	dual specificity protein kinase zak2|Protein kinase domain-containing protein
ACON2_038674	XM_040381577.2	LOC120958637	serine protease inhibitor Kazal-type 1-like	serine protease inhibitor Kazal-type 1-like|Kazal-like domain-containing protein
ACON2_038680	XM_040363560.2	LOC120947814	mitochondrial import inner membrane translocase subunit Tim13	mitochondrial import inner membrane translocase subunit Tim13
ACON2_038698	XR_005752019.2	LOC120958240	uncharacterized LOC120958240	
ACON2_038738	XM_040375300.2	LOC120954940	G1/S-specific cyclin-E	G1/S-specific cyclin-E|Cyclin N-terminal domain-containing protein
ACON2_038771	XM_040378482.2	ND-MNLL	NADH dehydrogenase (ubiquinone) MNLL subunit	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
ACON2_038787	XM_040385157.2	LOC120961441	zinc finger protein 260-like	zinc finger protein 260-like|zinc finger protein 271-like|zinc finger protein 723-like|zinc finger protein ZFP2-like
ACON2_038788	XM_040364528.2	LOC120948321	protein A16	protein A16|C-type lectin domain-containing protein
ACON2_038870	XM_040366057.2	LOC120949073	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_038914	XM_040379170.2	LOC120957123	proton-coupled amino acid transporter 2-like	proton-coupled amino acid transporter 2-like|Aa_trans domain-containing protein
ACON2_038929	XM_049610470.1	fbp	fructose-1,6-bisphosphatase	fructose-1,6-bisphosphatase 1|Fructose-bisphosphatase
ACON2_038943	XM_040375788.2	Aasdh	Aminoadipate-semialdehyde dehydrogenase	beta-alanine-activating enzyme|AMP-dependent synthetase/ligase domain-containing protein
ACON2_039005	XR_007453140.1	LOC125908022	large subunit ribosomal RNA	
ACON2_039010	XM_040382108.2	LOC120958997	sodium-dependent nutrient amino acid transporter 1-like	sodium-dependent nutrient amino acid transporter 1-like
ACON2_039033	XM_040369500.2	LOC120951025	sorbitol dehydrogenase-like	sorbitol dehydrogenase-like
ACON2_039034	XM_049611048.1	LOC125908340	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_039069	XM_040363842.2	LOC120947958	protein pygopus	protein pygopus|C2H2-type domain-containing protein
ACON2_039079	XM_049608944.1	LOC125907325	uncharacterized LOC125907325	uncharacterized protein LOC125907325
ACON2_039086	XM_040379820.2	LOC120957555	ornithine decarboxylase 2-like	ornithine decarboxylase 2-like
ACON2_039099	XM_049609650.1	LOC120955386	dimethylaniline monooxygenase [N-oxide-forming] 3-like	dimethylaniline monooxygenase [N-oxide-forming] 3-like
ACON2_039169	XM_040385741.2	LOC120961733	uncharacterized LOC120961733	uncharacterized protein LOC120961733
ACON2_039205	XM_049611100.1	LOC125908376	uncharacterized LOC125908376	uncharacterized protein LOC125908376
ACON2_039207	XM_049611031.1	LOC125908330	uncharacterized LOC125908330	uncharacterized protein LOC125908330
ACON2_039210	XM_040380286.2	LOC120957868	retinoid-inducible serine carboxypeptidase-like	retinoid-inducible serine carboxypeptidase-like|Carboxypeptidase
ACON2_039211	XM_040376895.2	LOC120955765	zinc finger protein 37-like	zinc finger protein 37-like|zinc finger protein 846-like
ACON2_039304	XR_005752302.2	LOC120960246	small nucleolar RNA U3	
ACON2_039307	XM_040366787.2	LOC120949471	apyrase-like	apyrase-like
ACON2_039322	XM_040383177.2	LOC120959626	calpain-B-like	calpain-B-like|Calpain catalytic domain-containing protein
ACON2_039341	XM_040371046.2	LOC120951999	uncharacterized LOC120951999	uncharacterized protein LOC120951999
ACON2_039342	XM_040365664.2	LOC120948868	uncharacterized LOC120948868	uncharacterized protein LOC120948868
ACON2_039365	XR_007451781.1	LOC125906407	uncharacterized LOC125906407	
ACON2_039417	XM_049610248.1	LOC120956261	zinc finger protein 397-like	zinc finger protein 397-like
ACON2_039421	XM_040383417.2	LOC120959775	uncharacterized LOC120959775	uncharacterized protein LOC120959775|G_PROTEIN_RECEP_F1_2 domain-containing protein
ACON2_039441	XM_040377564.2	LOC120956192	uncharacterized LOC120956192	uncharacterized protein LOC120956192
ACON2_039521	XM_040369144.2	LOC120950816	carcinine transporter	carcinine transporter|MFS domain-containing protein
ACON2_039540	XM_040364707.2	m	zona pellucida domain-containing protein miniature	uncharacterized protein LOC120948418|ZP domain-containing protein
ACON2_039577	XM_049609634.1	LOC120958500	histone H2B	histone H2B
ACON2_039702	XM_040363109.2	RASSF8	ras association domain-containing protein 8	transcription factor mef2A
ACON2_039725	XR_007452701.1	LOC125907487	uncharacterized LOC125907487	
ACON2_039738	XM_040363160.2	LOC120947660	glutathione S-transferase 1-1-like	glutathione S-transferase 1-1-like|glutathione transferase
ACON2_039739	XM_040365888.2	LOC120948979	malate synthase-like	malate synthase-like
ACON2_039740	XM_040372031.2	LOC120952616	venom allergen 3-like	antigen 5 like allergen Cul n 1-like|SCP domain-containing protein
ACON2_039756	XM_040375557.2	grp	serine/threonine-protein kinase grp	serine/threonine-protein kinase grp|Non-specific serine/threonine protein kinase
ACON2_039790	XM_040376343.2	LOC120955454	uncharacterized LOC120955454	uncharacterized protein LOC120955454
ACON2_039848	XM_040366469.2	LOC120949268	acylphosphatase-2-like	acylphosphatase-2-like
ACON2_039862	XM_040372676.2	LOC120953025	methylenetetrahydrofolate reductase	methylenetetrahydrofolate reductase
ACON2_039867	XM_049607690.1	LOC125906878	lipase 3-like	lipase 3-like
ACON2_039877	XM_049608329.1	LOC125907234	uncharacterized LOC125907234	uncharacterized protein LOC125907234
ACON2_039924	XM_049610170.1	LOC120959732	luciferin sulfotransferase-like	luciferin sulfotransferase-like
ACON2_039943	XM_040376341.2	LOC120955453	uncharacterized LOC120955453	uncharacterized protein LOC120955453|N-acetyltransferase domain-containing protein
ACON2_039980	XM_040382287.2	LOC120959120	protein cup-like	protein cup-like
ACON2_040027	XM_040368103.2	Ubc10	ubiquitin conjugating enzyme 10	ubiquitin-conjugating enzyme E2 L3|ubiquitin-conjugating enzyme E2-18 kDa
ACON2_040046	XM_040382681.2	LOC120959368	uncharacterized LOC120959368	uncharacterized protein LOC120959368
ACON2_040057	XM_049610108.1	LOC120947278	uncharacterized LOC120947278	uncharacterized protein LOC120947278
ACON2_040088	XM_049607470.1	LOC125906835	uncharacterized LOC125906835	uncharacterized protein LOC125906835
ACON2_040091	XM_040369063.2	LOC120950777	uncharacterized LOC120950777	uncharacterized protein LOC120950777
ACON2_040183	XM_049609636.1	LOC120958501	histone H2B	histone H2B
ACON2_040196	XM_040366206.2	LOC120949149	uncharacterized LOC120949149	uncharacterized protein LOC120949149|CLIP domain-containing serine protease|Clip domain-containing protein
ACON2_040207	XM_049605417.1	LOC120950371	titin	titin
ACON2_040214	XM_049609040.1	LOC120957786	odorant receptor 49b-like	odorant receptor 49b-like
ACON2_040231	XM_040366319.2	LOC120949200	phospholipid-transporting ATPase ABCA3-like	phospholipid-transporting ATPase ABCA3-like
ACON2_040254	XM_040367125.2	Fuca	alpha-L-fucosidase	putative alpha-L-fucosidase
ACON2_040262	XM_049608923.1	LOC120961234	uncharacterized LOC120961234	uncharacterized protein LOC120961234
ACON2_040308	XM_049609385.1	LOC125907417	CD109 antigen-like	CD109 antigen-like|Thioester-containing protein 1
ACON2_040321	XM_040368940.2	LOC120950687	uncharacterized LOC120950687	uncharacterized protein LOC120950687
ACON2_040351	XM_049607998.1	LOC125906923	uncharacterized LOC125906923	uncharacterized protein LOC125906923
ACON2_040358	XM_049606077.1	fs(1)N	female sterile (1) Nasrat	uncharacterized protein LOC120952176
ACON2_040430	XM_040365946.2	wech	tripartite motif containing 71 protein wech	protein wech|B box-type domain-containing protein
ACON2_040432	XM_040368286.2	LOC120950327	cytochrome P450 6a22-like	cytochrome P450 6a22-like
ACON2_040536	XM_040372981.2	LOC120953218	tubulin alpha-1 chain-like	tubulin alpha-1 chain-like|Tubulin alpha chain
ACON2_040593	XM_040371828.2	LOC120952472	uncharacterized LOC120952472	uncharacterized protein LOC120952472|Serine-rich adhesin for platelets
ACON2_040602	XM_040371698.2	LOC120952395	uncharacterized LOC120952395	uncharacterized protein LOC120952395
ACON2_040613	XM_040368391.2	LOC120950402	elongation factor 1-alpha 1-like	GRIP and coiled-coil domain-containing protein 2-like
ACON2_040623	XM_049608428.1	LOC125907249	uncharacterized LOC125907249	uncharacterized protein LOC125907249
ACON2_040675	XM_040378665.2	LOC120956884	ovochymase-2-like	ovochymase-2-like
ACON2_040693	XM_040371407.2	Fpps	Farnesyl pyrophosphate synthase	farnesyl pyrophosphate synthase
ACON2_040715	XM_040382434.2	LOC120959197	uncharacterized LOC120959197	uncharacterized protein LOC120959197
